prop_id,name,location,zip
B223PD,Rodney Playground Center,"Rodney St., S. 3 St., Borniquen Pl.",11211
B223PE,Rodney Playground North,"Borinquen Pl., Rodney St. and S. 1 St.",11211
B223QA,Marcy Green South,"Broadway, Marcy Ave. and S. 5 St.",11211
B223QB,Marcy Green Center,"Marcy Ave., S. 4 St. and S. 5 St.",11211
B223QC,Marcy Green North,"Marcy Ave., S. 3 St. and S. 4 St.",11211
B223R,Jaime Campiz Playground,"Hope St., Marcy Ave., Metropolitan Ave.",11211
B223S,Macri Triangle,"Metropolitan, Union, Meeker Avs",11211
B223T,Father Giorgio Triangle,"Jackson St., Lorimer St., Meeker Ave.",11211
B223U,Lentol Garden,"Graham Ave., Meeker Ave., Humbolt St., BQE",11222
B223V,Badame Sessa Triangle,"Leonard St., Withers St., Meeker Ave.",11211
B224,P.O. Reinaldo Salgado Playground,Monroe St. to Madison St. between Patchen Ave. and Ralph Ave.,11221
B225,St. Andrew's Playground,"Atlantic Ave., Herkimer St., Kingston Ave., St Andrew's Pl.",11216
B226,Mt. Carmel Triangle,"Union Ave., Meeker Ave., Jackson St.",11211
B227,P.S. 125 Playground,Rockaway Ave. bet. Blake Ave. and Dumont Ave.,11212
B228,Dr. Green Playground,Mother Gaston Blvd. and Sutter Ave.,11212
B229,Triangle,"Ralph Ave., Ave. T and E. 61 St.",11234
B230,Nicholas Naquan Heyward Jr. Park,Wyckoff St. between Hoyt St. and Bond St.,11217
B231,Samuel Goldberg Triangle,"65 St., Ave. O, W. 3 St.",11204
B232,Dean Playground,Dean St. to Bergen St. between 6 Ave. and Carlton Ave.,11217
B233,Park,Flatbush Ave. from Nassau St. to Concord St. between Bridge St. and Bridge Plaza Ct.,11201
B234,Tilden Playground,Tilden Ave. between E. 48 St. and E. 49 St.,11203
B235,Herman Dolgon Playground,Ave. V between Nostrand Ave. and Batchelder St.,11229
B236,Glenwood Playground,Ralph Ave. and Farragut Rd.,11234
B237,John Hancock Playground,"Bedford Ave., Hancock St., Jefferson Ave.",11216
B239,Sheepshead Playground,Ave. Z between Nostrand Ave. and E. 29 St.,11235
B240,Tucker Place,E. 27 St. and Emmons Ave.,11235
B242,Meucci Triangle,"Ave U, 86 St.  and W. 12 St.",11223
B243,Golconda Playground,Gold St. between Nassau St. and Concord St.,11201
B244,McDonald Playground,Mcdonald Ave. between Ave. S and Ave. T,11223
B245,St. John's Park,"Troy Ave., Bergen St., Prospect Pl., Schenectady Ave.",11213
B246,Jerome Playground,Wortman Ave. between Jerome St. and Warwick St.,11207
B247,Breukelen Ballfields,"Louisiana Ave., Stanley Ave., Flatlands Ave., Williams Ave.",11207
B248,Fox Playground,Ave. H between E. 54 St. to E. 55 St.,11234
B249,Van Dyke Playground,Dumont Ave. between Powell St. and Mother Gaston Blvd.,11212
B250,Nostrand Playground,Nostrand Ave. between Foster Ave. and Farragut Pl.,11210
B251,Manhattan Beach Park,Oriental Blvd. between Ocean Ave. and Mackenzie St.,11235
B252,West Playground,Ave. Z between W. 1 St. and West St.,11223
B253,Albert J. Parham Playground,"Adelphi St., Clermont Ave., Dekalb Ave., Willoughby Ave.",11205
B254,Wingate Park,"Winthrop St., Brooklyn Ave., Rutland Rd.",11203
B255C,Purple Playground,17 St. bet. 5 Ave. and 6 Ave.,11215
B255D,Park,"Prospect Ave., 6 Ave., Prospect Exwy.",11215
B255E,Park,"S/B Prospect Exwy. bet. 6 Ave., 7 Ave., and 18 St.",11215
B255F,Detective Joseph Mayrose Park,"N/B Prospect Exwy., 17 St., bet. 6 Ave. and 7 Ave.",11215
B255G,Butterfly Gardens,7 Ave. bet. 18 St. and 17 St.,11215
B255H,Thomas J. Cuite Park,19 St. bet. 11 Ave. and Seeley St.,11218
B255I,Park,18 St. bet. 11 Ave. and Seeley St.,11218
B255J,Seeley Park,S/B Prospect Exwy. bet. Seeley St. and Vanderbilt St.,11218
B255K,Sitting Area,N/B Prospect Exwy. bet. Seeley St. and Greenwood Ave.,11218
B255L,"Captain John McKenna, IV Park",Vanderbilt St. bet. E. 4 St. and E. 5 St.,11218
B255M,Park,Sherman St. at Ocean Pkwy.,11218
B255N,Park,Ocean Pkwy. at E. 8 St.,11218
B255O,Park,18 St. bet. 10 Ave. and Prospect Park West,11215
B256,Brooklyn Academy Of Music,Lafayette Ave between St Felix St. and Ashland Pl.,11217
B257,Frost Playground,Frost St. bet. Debevoise Ave. and Kingsland Ave.,11211
B258,Brevoort Playground,Ralph Ave. bet. Chauncey St. and Sumpter St.,11233
B259,Underwood Park,Lafayette Ave. bet. Waverly Ave. and Washington Ave.,11205
B260,Howard Playground,Mother Gaston Blvd. and Glenmore Ave.,11212
B260A,Howard Pool,E. New York Ave. between Mother Gaston Blvd. and St. Mark's Ave.,11212
B261,Schenck Playground,Livonia Ave. between Barbey St. and Schenck Ave.,11207
B262,Potomac Playground,Tompkins Ave. between Halsey St. and Macon St.,11216
B263,Sumner Playground,Throop Ave. between Myrtle Ave. and Park Ave.,11206
B264,Roebling Playground,Lee Ave. between Wilson St. and Taylor St.,11211
B265,Rainbow Playground,6 Ave. bet. 55 St. and 56 St.,11220
B266,Star Spangled Playground,Franklin Ave. between Willoughby Ave. and Dekalb Ave.,11205
B267,Winthrop Playground,Winthrop St. between Rogers Ave. and Bedford Ave.,11225
B268,Nautilus Playground,"Public Beach, W. 29 St. and W. 32 St.",11224
B269,Jesse Owens Playground,Lafayette Ave. bet. Stuyvesant Ave. and Malcom X Blvd.,11221
B270,Brownsville Playground,"Hegeman Ave., Linden Blvd. bet. Powell St. and Mother Gaston Blvd.",11212
B271,Railroad Playground,Ditmas Ave. bet. E. 92 St. and E. 91 St.,11236
B272,Marlboro Playground,W. 11 St. at Ave. W,11223
B273,Aimee Triangle,"Ave. P, Madison Pl., Nostrand Ave.",11229
B274,Bayview Playground,Seaview Ave. between E. 99 St. and E. 101 St.,11236
B275,Grady Playground,"Shore Pkwy., Brighton 3 St., Brighton 4 St.",11235
B276,J W Person Square,Carlton Ave & Myrtle Ave,NA
B277,Benson Playground,Bath Ave. between Bay 22 St. and Bay 23 St.,11214
B278,Sam Leggio Triangle,"Highland Pl. at Etna St., Forcetube Ave.",11208
B279,Wilson Playground,Ave. K between E. 100 St. and E. 101 St.,11236
B280,Nellie Bly Park,S/s Shore Pkwy between 25 Ave. and Bay 41 St.,11214
B282,Patrick O'Rourke Playground,"80 St. To 81 St., 11 Ave. To 12 Ave.",11228
B283,Belmont Playground,Belmont Ave. between Forbell St. and Drew St.,11208
B284,Marc And Jason's Playground,"Sterling St., Empire Blvd., New York Ave., Nostrand Ave.",11225
B285,Harry Maze Playground,"Ave. D, Ditmas Ave. bet. E. 56 St. and E. 57 St.",11203
B286,Bartlett Playground,"Whipple St., Bartlett St., between Throop Ave. and Flushing Ave.",11206
B287,Andries Playground,Nostrand Ave. between Ave. L and Ave. K,11210
B288,Slope Park Playground,6 Ave. between 18 St. and 19 St.,11215
B289,Cutinella Triangle,"Ave. W, W. 6 St. and 86 St.",11223
