Station,Year,Month,Day,Max Temp (C),Quality
9037,1966,2,21,,
9037,1966,2,22,,
9037,1966,2,23,,
9037,1966,2,24,,
9037,1966,2,25,,
9037,1966,2,26,27.7,N
9037,1966,2,27,28.9,Y
9037,1966,2,28,31.6,Y
9037,1966,3,1,41.8,Y
9037,1966,3,2,35.5,Y
9037,1966,3,3,33.9,Y
9037,1966,3,4,37.3,Y
9037,1966,3,5,32.7,Y
9037,1966,3,6,22.9,Y
9037,1966,3,7,26.1,Y
9037,1966,3,8,28.8,Y
9037,1966,3,9,37.2,Y
9037,1966,3,10,27.7,Y
9037,1966,3,11,23.3,Y
9037,1966,3,12,24.2,Y
9037,1966,3,13,24.9,Y
9037,1966,3,14,23.2,Y
9037,1966,3,15,27.8,Y
9037,1966,3,16,32.8,Y
9037,1966,3,17,34.9,Y
9037,1966,3,18,28.3,Y
9037,1966,3,19,29.7,Y
9037,1966,3,20,35.6,Y
9037,1966,3,21,37.2,Y
9037,1966,3,22,36.1,Y
9037,1966,3,23,35.6,Y
9037,1966,3,24,35,Y
9037,1966,3,25,34.3,Y
9037,1966,3,26,34.1,Y
9037,1966,3,27,38.9,Y
9037,1966,3,28,37.2,Y
9037,1966,3,29,31.8,Y
9037,1966,3,30,30.8,Y
9037,1966,3,31,25.5,Y
9037,1966,4,1,23.9,Y
9037,1966,4,2,23.9,Y
9037,1966,4,3,28.9,Y
9037,1966,4,4,22.2,Y
9037,1966,4,5,22.6,Y
9037,1966,4,6,22.8,Y
9037,1966,4,7,,
9037,1966,4,8,,
9037,1966,4,9,32.2,N
9037,1966,4,10,,
9037,1966,4,11,26.4,N
9037,1966,4,12,20,Y
9037,1966,4,13,21.1,Y
9037,1966,4,14,25,Y
9037,1966,4,15,27.6,Y
9037,1966,4,16,31.7,Y
9037,1966,4,17,32.8,Y
9037,1966,4,18,26.6,Y
9037,1966,4,19,22.7,Y
9037,1966,4,20,18.3,Y
9037,1966,4,21,18.7,Y
9037,1966,4,22,21.7,Y
9037,1966,4,23,22.2,Y
